area,habilidade,descricao,tri_score,area_code,tri_range,conceitos_cientificos,campos_semanticos,campos_lexicais,processos_fenomenos,contextos_historicos,habilidades_compostas,all_entities
Linguagens,H1,"Gênero poema com estrutura de receita, explorando elementos temáticos de uma receita.",658.6,LC,650-750,,,,,,,
Linguagens,H1,"Gênero crônica, questionamento sobre a brevidade no tratamento da temática.",732.6,LC,650-750,,Gênero crônica,,,,,Gênero crônica
Linguagens,H2,"Função do cartaz (educativa), orientando o comportamento de usuários de uma biblioteca.",408.3,LC,200-450,,,,,,,
Linguagens,H2,"Texto publicitário, conscientizando sobre a importância da formação leitora na infância.",448.6,LC,200-450,,formação leitora,,,,,formação leitora
Linguagens,H2,"Anúncio publicitário, propondo ações de conscientização para reduzir a violência de gênero em eventos esportivos.",456.0,LC,450-550,,Anúncio publicitário,,,,,Anúncio publicitário
Linguagens,H2,"Campanha publicitária, recurso expressivo para sensibilizar sobre o abandono de animais domésticos.",457.3,LC,450-550,,Campanha publicitária,,abandono de animais domésticos,,,"Campanha publicitária, abandono de animais domésticos"
Linguagens,H2,"Propaganda, uso de metáfora para enfatizar a importância da denúncia de abuso sexual infantil.",485.9,LC,450-550,,,,,,,
Linguagens,H2,"Campanha publicitária, conscientização sobre a necessidade de denunciar a violência doméstica.",489.6,LC,450-550,,"Campanha publicitária, conscientização",,,,,"Campanha publicitária, conscientização"
Linguagens,H2,"Gênero instrucional, sobre como ser eficiente no envio de currículo por e-mail.",514.2,LC,450-550,,Gênero instrucional,Gênero instrucional,,,,"Gênero instrucional, Gênero instrucional"
Linguagens,H2,"Campanha publicitária, incitando a adoção de práticas de consumo consciente para economizar água.",525.5,LC,450-550,,,,,,,
Linguagens,H2,"Campanha publicitária, variação na forma de apresentar informações relevantes para o público celíaco.",548.0,LC,450-550,,Campanha publicitária,,,,,Campanha publicitária
Linguagens,H2,"Gênero notícia, conscientizando a população sobre um grave problema de saúde pública (leishmaniose).",570.6,LC,550-650,,,,,,,
Linguagens,H2,"Campanha sobre bullying, uso de estruturas injuntivas para chamar diferentes atores sociais.",595.3,LC,550-650,,,,,,,
Linguagens,H2,"Gênero edital (tombamento), concordância com a preservação do patrimônio histórico.",621.0,LC,550-650,,,,,,,
Linguagens,H3,"Função social de texto, conscientização sobre a necessidade de preservação ambiental e segurança nas rodovias.",473.8,LC,450-550,,Função social de texto,,,,,Função social de texto
Linguagens,H3,"Projeto ""Pão e Poesia"", objetivando propor acesso à literatura a públicos diversos.",499.6,LC,450-550,,,,,,,
Linguagens,H3,"Texto sobre extensão de software, com objetivo de divulgar um produto que amplia a funcionalidade de um recurso.",502.5,LC,450-550,,,,,,,
Linguagens,H3,"Função do ""Hino à Bandeira"", utilizando a descrição para valorizar os elementos do símbolo nacional.",525.9,LC,450-550,,,,,,,
Linguagens,H3,"Função do gênero peça teatral (""O bem amado""), criticando satiricamente o comportamento de pessoas públicas.",553.8,LC,550-650,,,,,,,
Linguagens,H3,"Gênero manual de orientação (para pais de ""nativos digitais""), com função de propor ações para cada etapa da infância.",565.8,LC,550-650,,,,,nativos digitais,,nativos digitais
Linguagens,H3,"Gênero carta aberta, com objetivo de chamar a atenção da população sobre a saúde pública para idosos.",567.9,LC,550-650,,saúde pública,,,,,saúde pública
Linguagens,H3,"Artigo de opinião, uso de formas verbais para tornar o leitor copartícipe do ponto de vista.",571.1,LC,550-650,,,,,,,
Linguagens,H3,"Texto sobre exploração de madeira na Amazônia, com função de apresentar informações e comentários sobre um livro.",602.7,LC,550-650,,,,,,,
Linguagens,H3,"Texto eletrônico (hipertexto), sua função social de propiciar livre e imediato acesso às informações.",603.4,LC,550-650,,,,,,,
Linguagens,H3,"Gênero carta em letra de canção, trocando notícias em tom nostálgico.",606.0,LC,550-650,,,,,,,
Linguagens,H3,"Gênero resenha, com função social de fazer a apreciação de uma obra a partir de uma síntese crítica.",611.5,LC,550-650,,,,,,"síntese crítica, apreciação de uma obra","síntese crítica, apreciação de uma obra"
Linguagens,H3,"Campanha publicitária, com função social de conscientizar que direitos implicam deveres.",622.5,LC,550-650,,Campanha publicitária,,,,,Campanha publicitária
Linguagens,H3,"Gênero editorial, com função social de interpretar criticamente fatos noticiados.",644.4,LC,550-650,,,,,,interpretar criticamente fatos noticiados,interpretar criticamente fatos noticiados
Linguagens,H3,"Reportagem sobre obra de arte, com função de chamar a atenção para a arte como perpetuadora de episódios marcantes.",645.5,LC,550-650,,obra de arte,,episódios marcantes,,,"obra de arte, episódios marcantes"
Linguagens,H3,"Gênero crônica, com o eu lírico se aproximando de uma fábula ao apresentar uma lição de moral.",685.3,LC,650-750,,Gênero crônica,,,,,Gênero crônica
Linguagens,H3,"Concurso de miss como protesto, subvertendo a função social da fala das candidatas.",709.7,LC,650-750,,,,,,,
Linguagens,H3,"Gênero resenha de filme, com a função social de avaliar a obra por meio de análise crítica.",728.1,LC,650-750,,,,,,análise crítica,análise crítica
Linguagens,H4,"Propaganda da ABI, depreendendo-se que para o cidadão formar sua opinião, ele deve ter acesso à informação.",480.0,LC,450-550,,,,,,,
Linguagens,H4,"Poema ""O sedutor médio"", com crítica aos valores da sociedade expressa com ironia.",520.9,LC,450-550,,,,,,,
Linguagens,H4,"Charge sobre manifestações, com crítica à reação ao controle do pensamento coletivo.",533.3,LC,450-550,,,,,,,
Linguagens,H4,Charge sobre a busca pela individualidade.,542.4,LC,450-550,,,,,,,
Linguagens,H4,"Tirinha sobre internet e ideologia, com crítica à comercialização de pontos de vista.",545.0,LC,450-550,,,,,,,
Linguagens,H4,"Jogo ""Super Trunfo"" com pesquisador, subvertendo o gênero ao relacionar o universo lúdico a informações biográficas.",547.5,LC,450-550,informações biográficas,,informações biográficas,subvertendo o gênero,,,"informações biográficas, informações biográficas, subvertendo o gênero"
Linguagens,H4,"Crítica à propaganda, que favorece a imposição de ideias de grupos específicos.",557.1,LC,550-650,,,,,,,
Linguagens,H4,"Charge sobre a exploração em Marte, com crítica à circulação digital excessiva de autorretratos (selfies).",557.2,LC,550-650,,,,,,,
Linguagens,H4,"Crise da leitura, questionando essa ideia com base em pesquisas acadêmicas.",575.2,LC,550-650,,pesquisas acadêmicas,pesquisas acadêmicas,,,,"pesquisas acadêmicas, pesquisas acadêmicas"
Linguagens,H4,"Poesia em cartaz (lambe-lambe), evidenciando a disseminação da arte poética em um veículo não convencional.",586.2,LC,550-650,,,,,,,
Linguagens,H4,"Publicidade governamental, com o objetivo de assegurar a fiscalização dos gastos públicos.",589.7,LC,550-650,,Publicidade governamental,Publicidade governamental,,,,"Publicidade governamental, Publicidade governamental"
Linguagens,H4,"Petição on-line para mudar definição em dicionário, impulsionada pela utilização pública da petição pelos cidadãos.",591.3,LC,550-650,,,,,,,
Linguagens,H4,A piada como objeto de investigação e veículo de preconceitos.,611.8,LC,550-650,,,,,,,
Linguagens,H4,"Crítica à internet (Nicholas Carr), que garante a empresas a obtenção de lucro com a fragilidade de nossa atenção.",612.4,LC,550-650,,,,,,,
Linguagens,H4,"Gênero poema, caracterizado pelo uso expressivo da metáfora.",625.2,LC,550-650,,,,,,,
Linguagens,H4,"Petição em forma de cordel, demonstrando que o jogo de linguagem não atenua a gravidade do delito.",644.9,LC,550-650,,jogo de linguagem,,,,,jogo de linguagem
Linguagens,H4,"Prefácio em quadrinhos, com a função de apresentação do livro.",663.0,LC,650-750,,,,,,,
Linguagens,H5,"Significado da expressão ""bogof"" (Buy One Get One Free) para anunciar promoções.",532.3,LC,450-550,,,,,,,
Linguagens,H5,"Polissemia da palavra ""season"" (estação/temporada) causando ruído na comunicação.",541.8,LC,450-550,,,,,,,
Linguagens,H5,"Charge sobre o desconhecimento de como usar um livro impresso (""turn this thing on"").",549.6,LC,450-550,,,,turn this thing on,,,turn this thing on
Linguagens,H5,"O termo ""downsides"" no texto sobre Instagram para introduzir a ideia de que a rede pode provocar ansiedade.",549.6,LC,450-550,,,,,,,
Linguagens,H5,"O vocábulo ""unthinkable"" no texto sobre Michelle Obama ressaltando que sua ascensão social era improvável.",557.5,LC,550-650,,,,ascensão social,Michelle Obama,,"ascensão social, Michelle Obama"
Linguagens,H5,Notícia sobre incêndio em presídio em Honduras.,567.4,LC,550-650,,,,incêndio em presídio,,,incêndio em presídio
Linguagens,H5,"O uso da palavra ""shower"" (banho) no projeto ""Lava Mae"" para moradores de rua.",573.2,LC,550-650,,,,,moradores de rua,,moradores de rua
Linguagens,H5,"A expressão ""at odds with"" (em conflito com) revelando a dificuldade de conciliar diferentes anseios.",584.4,LC,550-650,,,,,,,
Linguagens,H5,"Propaganda sobre troca de óleo, importância da escolha da empresa certa.",587.7,LC,550-650,troca de óleo,,,,,,troca de óleo
Linguagens,H5,Citação de Jimi Hendrix sobre o amor pelo poder e o poder do amor.,609.1,LC,550-650,,,,,,,
Linguagens,H5,"Expressões ""A Tall Order"" e ""The sky isn't the limit"" sobre inovações na construção de arranha-céus.",610.4,LC,550-650,,,,inovações na construção de arranha-céus,,,inovações na construção de arranha-céus
Linguagens,H5,"As palavras ""fault"" (culpa) e ""blame"" (culpa) no poema de Robert Frost, revelando sensibilização do eu lírico.",623.8,LC,550-650,,,,,,,
Linguagens,H5,"A expressão ""No man is an island"" no poema de John Donne, ressaltando a ideia de conexão.",627.9,LC,550-650,,,,,,,
Linguagens,H6,"Campanha sobre desperdício de alimentos (""Food for thought"") e degradação ambiental.",521.7,LC,450-550,,"desperdício de alimentos, degradação ambiental, Food for thought",,"degradação ambiental, desperdício de alimentos",,,"desperdício de alimentos, degradação ambiental, Food for thought, degradação ambiental, desperdício de alimentos"
Linguagens,H6,"Poema ""I, too"" de Langston Hughes, sobre racismo, provocando sentimento de coragem e superação.",534.7,LC,450-550,,,,,,,
Linguagens,H6,Tirinha sobre o gosto pela prática da leitura.,536.9,LC,450-550,,,,,,,
Linguagens,H6,"Reportagem sobre ""fake images"" e a influência na alteração de imagens na memória.",538.7,LC,450-550,,,,alteração de imagens na memória,,,alteração de imagens na memória
Linguagens,H6,"Letra de canção (Madonna), sobre a morte precoce de um amigo jovem.",541.3,LC,450-550,,,,,,,
Linguagens,H6,"Cartum, com crítica sobre a sociedade exigir que o adolescente amadureça precocemente.",548.0,LC,450-550,,,,amadureça precocemente,,,amadureça precocemente
Linguagens,H6,"Site WeFeedback, exemplo de doação para caridade.",549.3,LC,450-550,,,,,,,
Linguagens,H6,"Comentário sobre o filme ""Frida"", com a pintora assumindo sua beleza singular.",554.0,LC,550-650,,,,,,,
Linguagens,H6,"Poema sobre comunicação digital, com o eu lírico expressando insatisfação com a forma de comunicação.",557.3,LC,550-650,,comunicação digital,,,,,comunicação digital
Linguagens,H6,Recrutamento de jovens para espionagem no Reino Unido.,568.7,LC,550-650,,,,,Reino Unido,,Reino Unido
Linguagens,H6,"Divulgação científica, sobre a produção natural de morfina no corpo.",572.0,LC,550-650,produção natural de morfina no corpo,Divulgação científica,Divulgação científica,,,,"produção natural de morfina no corpo, Divulgação científica, Divulgação científica"
Linguagens,H6,"Diálogo de romance, revelando uma atitude de resistência (cabelo natural).",576.9,LC,550-650,"cabelo natural, atitude de resistência",,,,,,"cabelo natural, atitude de resistência"
Linguagens,H6,"Romance ""1984"" de George Orwell, com a ideia de controle do Estado pelo poder sobre memórias e registros.",591.2,LC,550-650,,,,,,,
Linguagens,H6,"Citação de David Cameron, reforçando a ideia de que jovens precisam de amor e firmeza.",593.9,LC,550-650,,,,,,,
Linguagens,H6,"Internacionalização do ensino superior, com universidade italiana substituindo a língua nacional pelo inglês.",596.6,LC,550-650,,Internacionalização do ensino superior,,,,,Internacionalização do ensino superior
Linguagens,H6,"Texto sobre tecnologia, com foco no desenvolvimento de uma tinta para produzir pele e tecidos humanos.",609.0,LC,550-650,,,,,,,
Linguagens,H6,"Poema ""The Road Not Taken"" de Robert Frost, com o autor festejando o fato de ter sido ousado em suas escolhas.",610.6,LC,550-650,,,,,,,
Linguagens,H6,"Roteiro de filme, mostrando que a avaliação de um lugar depende da perspectiva do visitante.",655.4,LC,650-750,,,,,,,
Linguagens,H7,"Texto sobre Steve Jobs, com o propósito de enaltecer sua contribuição para o mundo digital.",501.0,LC,450-550,,mundo digital,,,,,mundo digital
Linguagens,H7,"Cartum, com o objetivo de destacar a falta de diversidade no ambiente de trabalho.",512.4,LC,450-550,,,,,,,
Linguagens,H7,"Campanha sobre doação de órgãos, com o objetivo de informar sobre acidentes.",540.8,LC,450-550,,,,,,,
Linguagens,H7,"Pôster sobre discriminação, com o objetivo de criticar o tratamento dado à mulher.",545.2,LC,450-550,,discriminação,,,,,discriminação
Linguagens,H7,"Texto sobre a trajetória da escritora J. K. Rowling, com o objetivo de informar que a autora agora pretende escrever para adultos.",549.3,LC,450-550,,,,,,,
Linguagens,H7,"Carta ao editor sobre acidente com armas, com o objetivo de expor indignação com a negligência.",550.3,LC,550-650,,,,,,,
Linguagens,H7,"Texto sobre animais de estimação e saúde, com o objetivo de convencer sobre os benefícios da adoção.",561.1,LC,550-650,,,,,,,
Linguagens,H7,"Carta ao editor sobre obesidade, com o autor indicando a necessidade de mais pesquisas.",563.7,LC,550-650,,,,,,,
Linguagens,H7,"Citação da escritora Gloria Anzaldúa, com o intuito de evidenciar as razões pelas quais ela escreve.",566.5,LC,550-650,,,,,,,
Linguagens,H7,"Guia de viagens de Israel, com o objetivo de apresentar aspectos gerais da cultura do país para atrair turistas.",571.6,LC,550-650,,,,,,,
Linguagens,H7,"Texto sobre o culto à celebridade, com o objetivo de ressaltar a necessidade de reflexão dos fãs.",571.6,LC,550-650,,,,,,,
Linguagens,H7,"Texto sobre relacionamentos, com o objetivo de comparar a expectativa de parceiros em épocas distintas.",579.0,LC,550-650,,,,,épocas distintas,,épocas distintas
Linguagens,H7,"Aviso da TSA (Transportation Security Administration), com o objetivo de informar que a mala foi revistada.",582.1,LC,550-650,,,,,,,
Linguagens,H7,"Tirinha ""Calvin and Hobbes"", com o personagem comentando que suas discussões não correspondem às suas expectativas.",584.8,LC,550-650,,,,,,,
Linguagens,H7,"Texto sobre a Khan Academy, com o segundo texto criticando a concepção de educação em que se baseia a organização.",594.3,LC,550-650,,,,,,,
Linguagens,H7,"Canção ""Masters of War"" de Bob Dylan, como protesto contra o sistema que recruta soldados para guerras motivadas por interesses econômicos.",600.6,LC,550-650,,,,,,,
Linguagens,H8,"Campanha ""We're a culture, not a costume"", fazendo referência ao ato de estereotipar povos de certas culturas.",519.5,LC,450-550,,,,estereotipar povos de certas culturas,,,estereotipar povos de certas culturas
Linguagens,H8,"Poema sobre educação infantil, mostrando que as crianças aprendem com o que vivem.",534.9,LC,450-550,,educação infantil,educação infantil,,,,"educação infantil, educação infantil"
Linguagens,H8,"Poema sobre o processo de formação da Inglaterra, evidenciando a riqueza da mistura cultural.",534.9,LC,450-550,,mistura cultural,,processo de formação da Inglaterra,,,"mistura cultural, processo de formação da Inglaterra"
Linguagens,H8,"Relato de vivências de um imigrante cubano nos EUA, destacando o fortalecimento do elo familiar em comunidades.",534.9,LC,450-550,,,,fortalecimento do elo familiar em comunidades,,,fortalecimento do elo familiar em comunidades
Linguagens,H8,"Poema sobre ""Spanglish"", destacando uma convergência linguístico-cultural.",539.2,LC,450-550,,,,convergência linguístico-cultural,,,convergência linguístico-cultural
Linguagens,H8,"Campanha da ONU sobre diversidade cultural, com o engajamento proposto na quarta dica.",548.0,LC,450-550,,diversidade cultural,,,,,diversidade cultural
Linguagens,H8,"Poema de Kamala Das, com a poetisa demonstrando consciência de sua identidade linguística.",580.7,LC,550-650,,,,,,,
Linguagens,H8,"Texto sobre ""Globish"", variedade da língua inglesa que altera a estrutura do idioma para facilitar a comunicação.",582.0,LC,550-650,,,,,,,
Linguagens,H8,"Poema sobre refugiados, destacando a existência de experiências plurais.",591.5,LC,550-650,,,,,,,
Linguagens,H8,"Poema indígena norte-americano, demonstrando a importância dos elementos da natureza.",591.9,LC,550-650,elementos da natureza,,,,,,elementos da natureza
Linguagens,H8,"Canção ""Ebony and Ivory"" de Paul McCartney, defendendo o respeito étnico.",609.3,LC,550-650,,,,,,,
Linguagens,H8,"Cartum sobre variedades linguísticas, evidenciando a dificuldade de reconhecer a existência de diferentes usos da linguagem.",686.2,LC,650-750,,variedades linguísticas,variedades linguísticas,,,,"variedades linguísticas, variedades linguísticas"
Linguagens,H8,"Poema de Chinua Achebe, sobre a situação de refugiados, explorando as impressões sensoriais do ambiente.",702.3,LC,650-750,impressões sensoriais do ambiente,,,,,,impressões sensoriais do ambiente
Linguagens,H9,Gênero musical hip-hop (break dance) como expressão da dinâmica da vida urbana.,455.8,LC,450-550,,,,dinâmica da vida urbana,,,dinâmica da vida urbana
Linguagens,H9,Futebol e desigualdade de gênero na remuneração de atletas.,459.2,LC,450-550,,,,,,,
Linguagens,H9,Dança folclórica (quadrilha) como representação de tradições e costumes.,472.1,LC,450-550,,,,,,,
Linguagens,H9,Representatividade feminina no esporte (skate) e desconstrução da noção de modalidade masculina.,484.9,LC,450-550,,,,,,,
Linguagens,H9,Jogos eletrônicos (FIFA) e sua função na promoção da igualdade de gênero.,502.4,LC,450-550,igualdade de gênero,,,,,,igualdade de gênero
Linguagens,H9,Violência no futebol como reflexo da precariedade da organização social no país.,503.3,LC,450-550,,,,,,,
Linguagens,H9,"Relação entre esporte e ascensão social, criticando a falta de formação paralela à esportiva.",510.1,LC,450-550,,ascensão social,,,,,ascensão social
Linguagens,H9,"Desigualdade no acesso a espaços de lazer, implicando condições desiguais de fruição.",542.0,LC,450-550,,,,,,,
Linguagens,H9,"Alteração do lema olímpico para incluir ""juntos"", associando-o à cooperatividade.",550.5,LC,550-650,,,,,,,
Linguagens,H9,"Mulher no boxe (filme ""Menina de Ouro""), transposição de limites impostos em espaço masculino.",553.6,LC,550-650,,,,transposição de limites impostos em espaço masculino,,,transposição de limites impostos em espaço masculino
Linguagens,H9,"Crítica à mercantilização do futebol, que se torna um produto a ser consumido, negando sua dimensão criativa.",557.5,LC,550-650,,,,se torna um produto a ser consumido,,,se torna um produto a ser consumido
Linguagens,H9,"Transformações nas brincadeiras infantis, promovendo uma vivência corporal menos ativa.",562.1,LC,550-650,,,,"promovendo uma vivência corporal menos ativa., Transformações nas brincadeiras infantis",,,"promovendo uma vivência corporal menos ativa., Transformações nas brincadeiras infantis"
Linguagens,H9,"Esporte e mídia (telespetáculo), distorção da experiência do ser-atleta para os espectadores.",566.2,LC,550-650,,Esporte e mídia,Esporte e mídia,distorção da experiência do ser-atleta para os espectadores,,,"Esporte e mídia, Esporte e mídia, distorção da experiência do ser-atleta para os espectadores"
Linguagens,H9,Cultura hip-hop no Brasil como forma de afirmação de identidade dos jovens.,633.6,LC,550-650,,,,,,,
Linguagens,H9,"Poema ""Verbo ser"", sobre conflito do padrão corporal imposto versus a busca de autenticidade.",642.2,LC,550-650,autenticidade,,,,,,autenticidade
Linguagens,H9,"Preconceito no futebol feminino, uso de argumento biológico para justificar desigualdades.",658.4,LC,650-750,argumento biológico,,,,,,argumento biológico
Linguagens,H9,"Racismo no futebol brasileiro, atitude contestadora de um jogador contra o mito da democracia racial.",665.2,LC,650-750,,,,,,,
Linguagens,H10,"Obesidade e saúde, relacionando o excesso de peso ao quadro clínico da população (fator de risco).",450.2,LC,450-550,"fator de risco, excesso de peso, quadro clínico da população",,,,,,"fator de risco, excesso de peso, quadro clínico da população"
Linguagens,H10,"Saúde do adolescente, relação entre má alimentação, sedentarismo e doenças crônicas.",471.2,LC,450-550,"sedentarismo, doenças crônicas, má alimentação",,,,,,"sedentarismo, doenças crônicas, má alimentação"
Linguagens,H10,Padrão de beleza e distúrbios de imagem corporal (anorexia e bulimia).,483.2,LC,450-550,,,,,,,
Linguagens,H10,"Saúde mental no esporte, relação entre a pressão e a dimensão emocional dos atletas.",491.1,LC,450-550,,,,,,,
Linguagens,H10,"Efeitos fisiológicos do exercício físico, como diminuição da frequência cardíaca em repouso.",492.4,LC,450-550,"frequência cardíaca, exercício físico",,,,,,"frequência cardíaca, exercício físico"
Linguagens,H10,"Práticas corporais e desigualdade, sendo o fator central a desigualdade entre classes sociais.",496.9,LC,450-550,,,,,,,
Linguagens,H10,"Uso de suplementos alimentares por adolescentes, estimulado pela indústria que visa um corpo ideal.",503.1,LC,450-550,,,,,,,
Linguagens,H10,"Educação para a saúde, pressupondo a constituição de hábitos saudáveis.",519.3,LC,450-550,,Educação para a saúde,Educação para a saúde,,,,"Educação para a saúde, Educação para a saúde"
Linguagens,H10,"Aptidão física e saúde, problematizando a organização social e seu impacto na mudança de hábitos.",530.6,LC,450-550,Aptidão física,organização social,organização social,mudança de hábitos,,,"Aptidão física, organização social, organização social, mudança de hábitos"
Linguagens,H10,"Indústria de brinquedos (Barbie) e corpo feminino, analisando a proporcionalidade entre o corpo da boneca e o humano.",537.6,LC,450-550,,,,,,,
Linguagens,H10,"Prática de exercícios físicos, com o segundo texto apresentando uma visão ampliada que considera aspectos sociais.",545.0,LC,450-550,"visão ampliada, exercícios físicos, aspectos sociais",aspectos sociais,,,,,"visão ampliada, exercícios físicos, aspectos sociais, aspectos sociais"
Linguagens,H10,"""Exergames"" como possibilidade para estimular a exercitação física e promover a saúde.",554.2,LC,550-650,exercitação física,,,,,,exercitação física
Linguagens,H10,"Pobreza e acesso à atividade física, necessidade de ações relacionadas à educação e distribuição de renda.",604.5,LC,550-650,atividade física,distribuição de renda,,,,,"atividade física, distribuição de renda"
Linguagens,H10,"Conceito ampliado de saúde, como consequência da forma de organização social.",609.0,LC,550-650,Conceito ampliado de saúde,,,,,,Conceito ampliado de saúde
Linguagens,H10,"Arte (Pop Art) e corpo feminino, com a erotização do corpo constituída pela educação do gesto e comportamento.",748.0,LC,650-750,,corpo feminino,,erotização do corpo,Pop Art,,"corpo feminino, erotização do corpo, Pop Art"
Linguagens,H11,"Prática de aventura (Mountainboard), caracterizada pela criatividade para adaptações a novos espaços.",444.1,LC,200-450,,,,,,,
Linguagens,H11,"Esporte eletrônico, seu crescimento demonstrando a condição favorável à expansão da modalidade.",472.4,LC,450-550,,,Esporte eletrônico,expansão da modalidade,,,"Esporte eletrônico, expansão da modalidade"
Linguagens,H11,"Esporte-participação, presente em modalidades esportivas adaptadas para maior engajamento.",503.0,LC,450-550,,,,,,,
Linguagens,H11,"Democratização do skate, possibilitada por diversos fatores (tecnologia, eventos, etc.).",506.2,LC,450-550,,,,Democratização do skate,,,Democratização do skate
Linguagens,H11,"Regras do MMA, transformadas para delimitar a violência e enquadrar a modalidade como esporte de espetáculo.",525.0,LC,450-550,,,,,,,
Linguagens,H11,"Canção sobre futebol (Wilson Simonal), com crítica à alienação provocada pelo esporte.",530.7,LC,450-550,,,,alienação provocada pelo esporte,Wilson Simonal,,"alienação provocada pelo esporte, Wilson Simonal"
Linguagens,H11,"Jogo de amarelinha, mostrando a possibilidade de reinvenção da brincadeira em seu contexto.",530.7,LC,450-550,,,,reinvenção da brincadeira,seu contexto,,"reinvenção da brincadeira, seu contexto"
Linguagens,H11,"Conceito de luta na educação física, envolvendo combate corporal intencional com regras.",536.2,LC,450-550,,educação física,educação física,,,,"educação física, educação física"
Linguagens,H11,"Mulheres transgênero no esporte, limites do potencial inclusivo dados pela dependência de características biológicas padronizadas.",553.7,LC,550-650,,,,,,,
Linguagens,H11,"Princípios operacionais dos esportes coletivos, com o drible no handebol caracterizando a progressão da equipe.",584.4,LC,550-650,,,,progressão da equipe,,,progressão da equipe
Linguagens,H11,"Jogos dos Povos Indígenas, com a legitimação das práticas corporais indígenas como modalidade esportiva.",598.5,LC,550-650,,,,,Povos Indígenas,,Povos Indígenas
Linguagens,H11,"Jogo e ludicidade, com a fruição se estabelecendo pelo caráter lúdico que permite experiências inusitadas.",617.9,LC,550-650,caráter lúdico,,,,,,caráter lúdico
Linguagens,H11,"Valores olímpicos e paralímpicos, com o respeito se caracterizando pelo fair play e combate ao doping.",682.1,LC,650-750,fair play,,,,,,fair play
Linguagens,H9,Gênero musical hip-hop (break dance) como expressão da dinâmica da vida urbana.,455.8,LC,450-550,,,,dinâmica da vida urbana,,,dinâmica da vida urbana
Linguagens,H9,Futebol e desigualdade de gênero na remuneração de atletas.,459.2,LC,450-550,,,,,,,
Linguagens,H9,Dança folclórica (quadrilha) como representação de tradições e costumes.,472.1,LC,450-550,,,,,,,
Linguagens,H9,Representatividade feminina no esporte (skate) e desconstrução da noção de modalidade masculina.,484.9,LC,450-550,,,,,,,
Linguagens,H9,Jogos eletrônicos (FIFA) e sua função na promoção da igualdade de gênero.,502.4,LC,450-550,igualdade de gênero,,,,,,igualdade de gênero
Linguagens,H9,Violência no futebol como reflexo da precariedade da organização social no país.,503.3,LC,450-550,,,,,,,
Linguagens,H9,"Relação entre esporte e ascensão social, criticando a falta de formação paralela à esportiva.",510.1,LC,450-550,,ascensão social,,,,,ascensão social
Linguagens,H9,"Desigualdade no acesso a espaços de lazer, implicando condições desiguais de fruição.",542.0,LC,450-550,,,,,,,
Linguagens,H9,"Alteração do lema olímpico para incluir ""juntos"", associando-o à cooperatividade.",550.5,LC,550-650,,,,,,,
Linguagens,H9,"Mulher no boxe (filme ""Menina de Ouro""), transposição de limites impostos em espaço masculino.",553.6,LC,550-650,,,,transposição de limites impostos em espaço masculino,,,transposição de limites impostos em espaço masculino
