area,skill_num,performance,ano,descricao
CN,20,0.24614269167254516,2024,Compreender o sistema nervoso e seus processos
CN,21,0.4166888474600316,2024,Analisar fenômenos térmicos e termodinâmicos
CN,22,0.14864224370595128,2024,Compreender ciclos biogeoquímicos
CN,23,0.38474354056409893,2024,Avaliar impactos ambientais de atividades humanas
CN,24,0.35457343872206654,2024,Compreender processos de reprodução e desenvolvimento
CN,25,0.24504528754491595,2024,Analisar a relação entre tecnologia e ciência
CN,26,0.255202893080528,2024,Compreender o funcionamento do sistema imunológico
CN,27,0.2534156453443093,2024,Analisar doenças e medidas de prevenção
CN,28,0.5729825272594398,2024,Compreender a origem e evolução do universo
CN,29,0.4121533597458441,2024,Analisar o uso de recursos naturais e sustentabilidade
CN,30,0.23391824376924383,2024,Compreender processos de fotossíntese e respiração celular
LC,1,0.3484018967947779,2024,Identificar diferentes linguagens e seus contextos de uso
LC,2,0.7098614342898849,2024,Reconhecer a função social de diferentes gêneros textuais
LC,3,0.8032760315681498,2024,Analisar relações entre textos e seus contextos
LC,4,0.6404578161257223,2024,Reconhecer posicionamentos ideológicos em textos
LC,5,0.4787617106900497,2024,Avaliar argumentos em textos de diferentes gêneros
LC,6,0.40299907676078095,2024,Compreender propostas de intervenção social através de textos
LC,7,0.48828994902740536,2024,Relacionar linguagens verbal e não verbal
LC,8,0.4286465865829513,2024,Reconhecer o uso de figuras de linguagem e seus efeitos
LC,9,0.5708951865507881,2024,Compreender variações linguísticas e seus contextos
LC,10,0.5595097189643534,2024,Analisar recursos expressivos das linguagens artísticas
LC,11,0.7589116975505373,2024,Reconhecer estratégias argumentativas em textos
LC,12,0.44491207891853657,2024,Compreender a função social da literatura
LC,13,0.38732559216579715,2024,Analisar aspectos formais e estruturais de textos
LC,14,0.4443874819283143,2024,Identificar elementos que concorrem para a progressão temática
LC,15,0.43344435478824006,2024,Estabelecer relações entre textos de diferentes gêneros
LC,16,0.364922516981876,2024,Reconhecer procedimentos de convencimento em textos
LC,17,0.4090883131620336,2024,Analisar a produção artística como expressão cultural
LC,18,0.3916331894277836,2024,Compreender manifestações corporais e práticas esportivas
LC,19,0.7256623576377411,2024,Avaliar o papel da mídia na construção de realidades
LC,20,0.6138142072322742,2024,Analisar a função estética em produções culturais
LC,21,0.804131120584779,2024,Compreender textos técnicos e científicos
LC,22,0.21431605543136867,2024,Reconhecer recursos de coesão e coerência textual
LC,23,0.725812059020871,2024,Analisar aspectos da língua portuguesa em uso
LC,24,0.3854539548861249,2024,Compreender processos de formação de palavras
LC,25,0.2670256539654244,2024,Avaliar a adequação linguística em diferentes contextos
LC,26,0.2301918455696754,2024,Analisar produções culturais de diferentes épocas
LC,27,0.5429091493164313,2024,Compreender o papel da tecnologia na comunicação
LC,28,0.24328413522210598,2024,Reconhecer diferentes formas de organização textual
LC,29,0.6011223234685623,2024,Avaliar processos de criação artística e cultural
LC,30,0.48757087795301446,2024,Compreender relações intertextuais e suas funções
MT,1,0.32508896118509506,2024,"Construir significados para números naturais, inteiros e racionais"
MT,2,0.16808684802452645,2024,Utilizar conhecimentos geométricos na resolução de problemas
MT,3,0.34336199209465734,2024,Selecionar estratégias de resolução de problemas
MT,4,0.3524371339167238,2024,Analisar dados apresentados em gráficos e tabelas
MT,5,0.18921459878585586,2024,Avaliar propostas de intervenção usando conceitos matemáticos
MT,6,0.215263965284758,2024,Interpretar informações em diferentes representações matemáticas
MT,7,0.3671405503908741,2024,Compreender o caráter aleatório de fenômenos naturais e sociais
MT,8,0.3786046163747342,2024,Resolver problemas envolvendo grandezas proporcionais
MT,9,0.19757919925532877,2024,Utilizar instrumentos de medida e escalas
MT,10,0.28349474334644664,2024,Analisar informações expressas em gráficos e tabelas
MT,11,0.12125705358185052,2024,Utilizar noções de proporcionalidade e semelhança
MT,12,0.1939847396752126,2024,Resolver problemas envolvendo equações e inequações
MT,13,0.19477837148216656,2024,Avaliar modelos matemáticos usados em contextos reais
MT,14,0.1911438545550348,2024,Analisar problemas envolvendo variação de grandezas
MT,15,0.3282918450811544,2024,Identificar regularidades e padrões matemáticos
MT,16,0.3009995508019922,2024,Utilizar conceitos de geometria analítica
MT,17,0.2895214887857192,2024,Compreender aplicações de razões trigonométricas
MT,18,0.22794603072047548,2024,Resolver problemas de contagem e probabilidade
MT,19,0.28529323942945123,2024,Avaliar propostas de tratamento de dados estatísticos
MT,20,0.24283443212862543,2024,Analisar problemas envolvendo funções matemáticas
MT,21,0.25193351061654756,2024,Utilizar conceitos de geometria espacial
MT,22,0.17164952154910545,2024,Resolver problemas envolvendo sequências numéricas
MT,23,0.3233904234020485,2024,Analisar situações envolvendo matemática financeira
MT,24,0.3219024111396115,2024,Compreender aplicações de matrizes e determinantes
MT,25,0.3241836687713501,2024,Resolver problemas usando sistemas de equações
MT,26,0.5015433447170349,2024,Analisar gráficos de funções
MT,27,0.47428280013490115,2024,Utilizar conceitos de geometria plana
MT,28,0.22482418897650788,2024,Resolver problemas de otimização
MT,29,0.2809845524271844,2024,Avaliar argumentos matemáticos e demonstrações
MT,30,0.2550518442586679,2024,Compreender aplicações de polinômios e suas propriedades
